endTime,artistName,trackName,msPlayed
2021-08-23 13:07,Bad Bunny,Yonaguni,1088
2021-08-23 13:09,Scott Helman,Ripple Effect - Herag Sanbalian Remix,137088
2021-08-23 13:10,LANY,up to me,47978
2021-08-23 13:14,Olivia Rodrigo,deja vu,215506
2021-08-23 13:16,Olivia Rodrigo,deja vu,1621
2021-08-23 13:16,HRDLY,Feels Like,141923
2021-08-23 13:16,LANY,up to me,1045
2021-08-23 13:16,Johan Lenox,World On Fire (with Kevin George),1471
2021-08-23 13:19,Lafrantz,Backseat,159558
2021-08-23 13:22,The Band CAMINO,Less Than I Do,211694
2021-08-23 13:25,Quinn XCII,Tough (feat. Noah Kahan),178133
2021-08-23 13:26,Drake,Take Care,7620
2021-08-23 13:26,Eagles,Hotel California - 2013 Remaster,1002
2021-08-23 13:26,MAX,Love Me Less (feat. Quinn XCII),1344
2021-08-23 13:29,Andy Grammer,Some Girl,175642
2021-08-23 13:32,Joji,Run,1834
2021-08-23 13:32,Miley Cyrus,Nothing Else Matters,1621
2021-08-23 13:32,Fergie,M.I.L.F. $,35502
2021-08-23 13:32,John K,in case you miss me,1941
2021-08-23 13:32,X Lovers,Too Fast,4096
2021-08-23 13:32,Caroline Kole,Freaking Out!,187535
2021-08-23 13:34,SOPHIE,LEMONADE,118727
2021-08-23 13:38,A Great Big World,Younger - Acoustic,211640
2021-08-23 13:39,Taylor Swift,closure,57005
2021-08-23 22:50,Taylor Swift,closure,123660
2021-08-24 01:11,Ben Rector,Brand New,93689
2021-08-24 01:15,Hydelic,Always Been but Never Dreamed,260837
2021-08-24 01:16,Cuva,Erase Yourself,52410
2021-08-24 01:20,Noah Cyrus,Make Me (Cry),242081
2021-08-24 01:21,Childish Gambino,This Is America,35872
2021-08-24 01:21,Mob Rich,Yoko Ono (Stripped with Matt Maeson),4226
2021-08-24 01:35,AJR,Beats,198571
2021-08-24 01:38,Jake Scott,Favorite T-Shirt,184440
2021-08-24 23:57,Daulton Hopkins,Glue,201840
2021-08-25 00:00,Cherry Pools,Turn You On,49750
2021-08-25 00:00,benny blanco,You (with Marshmello & Vance Joy),169094
2021-08-25 00:03,benny blanco,You (with Marshmello & Vance Joy),169094
2021-08-25 13:25,Cherry Pools,Turn You On,101033
2021-08-25 13:25,Thrillogy,Enough (feat. Gallie Fisher),41795
2021-08-25 13:26,Judah & the Lion,Passion Fashion feat. Jon Bellion,103096
